Title,Location,Price,Area
                        Chambre Willemskade                            ,            3016 DK Rotterdam (Nieuwe Werk)        ,                422 € par mois            ,16 m²
                        Chambre Diergaardesingel                            ,            3014 AH Rotterdam (Oude Westen)        ,                460 € par mois            ,18 m²
                        Studio Saftlevenstraat                            ,            3015 BK Rotterdam (Oude Westen)        ,                743 € par mois            ,30 m²
                        Appartement Glashaven                            ,            3011 XH Rotterdam (Stadsdriehoek)        ,                952 € par mois            ,26 m²
                        Appartement Glashaven                            ,            3011 XH Rotterdam (Stadsdriehoek)        ,                952 € par mois            ,21 m²
                        Appartement Glashaven                            ,            3011 XH Rotterdam (Stadsdriehoek)        ,                974 € par mois            ,25 m²
                        Appartement Glashaven                            ,            3011 XH Rotterdam (Stadsdriehoek)        ,                974 € par mois            ,21 m²
                        Studio Westersingel                            ,            3014 GV Rotterdam (Oude Westen)        ,                975 € par mois            ,20 m²
                        Appartement Glashaven                            ,            3011 XH Rotterdam (Stadsdriehoek)        ,                986 € par mois            ,25 m²
                        Appartement Glashaven                            ,            3011 XH Rotterdam (Stadsdriehoek)        ,                986 € par mois            ,32 m²
                        Appartement Glashaven                            ,            3011 XH Rotterdam (Stadsdriehoek)        ,                992 € par mois            ,31 m²
                        Appartement Glashaven                            ,            3011 XH Rotterdam (Stadsdriehoek)        ,                997 € par mois            ,25 m²
                        Appartement Glashaven                            ,            3011 XH Rotterdam (Stadsdriehoek)        ,                997 € par mois            ,25 m²
                        Appartement Glashaven                            ,            3011 XH Rotterdam (Stadsdriehoek)        ,                1 003 € par mois            ,32 m²
                        Appartement Glashaven                            ,            3011 XH Rotterdam (Stadsdriehoek)        ,                1 003 € par mois            ,32 m²
                        Appartement Glashaven                            ,            3011 XH Rotterdam (Stadsdriehoek)        ,                1 009 € par mois            ,25 m²
                        Appartement Mauritsstraat                            ,            3012 CJ Rotterdam (Cool)        ,                1 095 € par mois            ,55 m²
                        Appartement Westzeedijk                            ,            3015 AA Rotterdam (Dijkzigt)        ,                1 195 € par mois            ,46 m²
                        Appartement Karel Doormanstraat                            ,            3012 GH Rotterdam (Cool)        ,                1 200 € par mois            ,60 m²
                        Appartement Goudsewagenstraat 44 B                            ,            3011 RL Rotterdam (Stadsdriehoek)        ,                1 225 € par mois            ,66 m²
                        Appartement Kruiskade                            ,            3012 EG Rotterdam (Cool)        ,                1 250 € par mois            ,83 m²
                        Appartement Kruiskade                            ,            3012 EG Rotterdam (Cool)        ,                1 250 € par mois            ,78 m²
                        Appartement Kruiskade                            ,            3012 EG Rotterdam (Cool)        ,                1 250 € par mois            ,78 m²
                        Appartement Kruiskade                            ,            3012 EG Rotterdam (Cool)        ,                1 250 € par mois            ,78 m²
                        Appartement Mariniersweg 260                            ,            3011 ZZ Rotterdam (Stadsdriehoek)        ,                1 250 € par mois            ,77 m²
                        Appartement Weena                            ,            3013 CA Rotterdam (Stadsdriehoek)        ,                1 295 € par mois            ,57 m²
                        Appartement Kruiskade                            ,            3012 EG Rotterdam (Cool)        ,                1 350 € par mois            ,78 m²
                        Appartement Kruiskade                            ,            3012 EG Rotterdam (Cool)        ,                1 350 € par mois            ,78 m²
                        Appartement Hoornbrekersstraat                            ,            3011 CL Rotterdam (Stadsdriehoek)        ,                1 350 € par mois            ,54 m²
                        Appartement Mauritsstraat                            ,            3012 CH Rotterdam (Cool)        ,                1 350 € par mois            ,36 m²
